County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020
ABBEVILLE COUNTY,SC,22.4,15.6,81.7,1.6,70.2,68.9,9660,2.46,38741,22646,1.8,490.48,2.8,90.4,51.6,24295,25417,51.8,1450,543,689,317,1080,187,1211,Abbeville County,45001.0,12433,10775,10671,11001,9925,8374,-0.330893589640473,-0.2804640371229698,-0.1347577546621685,-0.1518952822470684,-0.1054911838790931,-0.0816813947934081,Republican
ACADIA PARISH,LA,15.8,13.3,79.0,2.8,79.7,77.3,22236,2.76,43396,23122,1.3,655.12,10.0,89.8,51.1,57576,61773,94.3,4664,1516,2629,705,3734,388,4007,Acadia Parish,22001.0,28425,27389,26835,26710,25230,23238,-0.6034476693051891,-0.5667968892621125,-0.498267188373393,-0.4567577686259828,-0.2832342449464923,-0.2118082451157587,Republican
ACCOMACK COUNTY,VA,24.6,19.5,81.5,9.1,67.8,59.9,13438,2.35,46073,26018,7.7,449.5,11.5,93.0,51.3,33413,33164,73.8,2997,802,1716,335,2560,212,2536,Accomack County,51001.0,16962,15818,16051,15623,13356,11925,-0.093974767126518,-0.1165128334808446,-0.0347641891470936,-0.0144658516290085,-0.165318957771788,-0.1056603773584905,Republican
ADA COUNTY,ID,14.9,38.5,95.2,8.5,91.9,84.3,173353,2.58,66293,34919,5.8,1052.58,8.7,83.7,49.9,494967,392365,372.8,41789,14661,19409,3099,36701,3803,35132,Ada County,16001.0,259389,195669,180546,179402,155002,123485,-0.0391689701567914,-0.092375389049875,-0.1130847540239052,-0.0618276273397174,-0.2330163481761525,-0.2785763453050978,Republican
ADAIR COUNTY,IA,23.0,18.5,94.2,2.5,97.4,95.1,3200,2.17,53363,30822,1.6,569.27,3.2,86.1,50.2,7496,7682,13.5,914,304,499,0,861,185,679,Adair County,19001.0,4177,3811,3996,4053,4278,4123,-0.4127364136940388,-0.3484649698241931,-0.081081081081081,-0.0335553910683444,-0.1304347826086956,-0.1266068396798447,Republican
ADAIR COUNTY,KY,19.2,15.7,79.6,2.2,94.8,93.0,6977,2.56,38021,21196,1.6,405.28,2.6,89.0,50.2,18903,18656,46.0,1725,342,1076,78,1617,144,1484,Adair County,21001.0,8763,8233,7600,7298,7447,7328,-0.6714595458176423,-0.645451232843435,-0.5501315789473684,-0.5267196492189641,-0.5188666577145159,-0.5023198689956332,Republican
ADAIR COUNTY,MO,15.1,31.0,90.1,2.6,91.5,89.4,9258,2.45,41929,22847,4.1,567.32,5.9,75.1,52.0,25314,25607,45.1,2175,455,1335,59,1974,298,1655,Adair County,29001.0,10336,10226,10126,11871,11404,10552,-0.2615131578947368,-0.2474085663993741,-0.1414181315425637,-0.0131412686378569,-0.1253069098561908,-0.1847043214556482,Republican
ADAIR COUNTY,OK,15.8,11.6,80.8,7.1,42.1,39.4,7733,2.86,34695,17026,1.8,573.48,8.3,90.2,50.0,19495,22683,39.6,1864,618,978,770,968,109,1722,Adair County,40001.0,7108,6513,6508,6690,7533,5977,-0.5906021384355655,-0.5228005527406725,-0.3463429625076828,-0.3865470852017937,-0.3197929111907607,-0.1910657520495231,Republican
ADAMS COUNTY,CO,10.7,24.3,83.8,40.8,85.7,49.0,166450,3.0,71202,30313,15.3,1167.65,29.0,84.7,49.4,519572,441603,378.2,34447,12562,18398,10916,22016,3478,29493,Adams County,8001.0,236740,193665,176230,160499,136672,107852,0.1628157472332516,0.0850747424676632,0.1683992509788344,0.1835961594776292,0.0234868883165534,0.0609260838927418,Democrat
ADAMS COUNTY,IA,23.7,15.6,93.8,1.4,97.4,96.1,1598,2.21,49255,28440,0.6,423.44,1.5,88.7,50.1,3704,4029,9.5,284,64,157,0,261,37,210,Adams County,19003.0,2160,2106,2185,2206,2325,2145,-0.4375,-0.3941120607787274,-0.0366132723112128,0.0326382592928377,-0.1462365591397849,-0.1272727272727272,Republican
