County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020,winner_2020_encoded,county,county_ascii,county_full,state_id,state_name,lat,lng,population
ABBEVILLE COUNTY,SC,22.4,15.6,81.7,1.6,70.2,68.9,9660.0,2.46,38741.0,22646.0,1.8,490.48,2.8,90.4,51.6,24295.0,25417.0,51.8,1450.0,543.0,689.0,317.0,1080.0,187.0,1211.0,Abbeville County,45001.0,12433.0,10775.0,10671.0,11001.0,9925.0,8374.0,-0.330893589640473,-0.2804640371229698,-0.1347577546621685,-0.1518952822470684,-0.1054911838790931,-0.0816813947934081,Republican,0.0,Abbeville,Abbeville,Abbeville County,SC,South Carolina,34.2226,-82.4593,24368.0
ACADIA PARISH,LA,15.8,13.3,79.0,2.8,79.7,77.3,22236.0,2.76,43396.0,23122.0,1.3,655.12,10.0,89.8,51.1,57576.0,61773.0,94.3,4664.0,1516.0,2629.0,705.0,3734.0,388.0,4007.0,Acadia Parish,22001.0,28425.0,27389.0,26835.0,26710.0,25230.0,23238.0,-0.6034476693051891,-0.5667968892621125,-0.498267188373393,-0.4567577686259828,-0.2832342449464923,-0.2118082451157587,Republican,0.0,Acadia,Acadia,Acadia Parish,LA,Louisiana,30.2906,-92.412,57674.0
ACCOMACK COUNTY,VA,24.6,19.5,81.5,9.1,67.8,59.9,13438.0,2.35,46073.0,26018.0,7.7,449.5,11.5,93.0,51.3,33413.0,33164.0,73.8,2997.0,802.0,1716.0,335.0,2560.0,212.0,2536.0,Accomack County,51001.0,16962.0,15818.0,16051.0,15623.0,13356.0,11925.0,-0.093974767126518,-0.1165128334808446,-0.0347641891470936,-0.0144658516290085,-0.165318957771788,-0.1056603773584905,Republican,0.0,Accomack,Accomack,Accomack County,VA,Virginia,37.7644,-75.6334,33367.0
ADA COUNTY,ID,14.9,38.5,95.2,8.5,91.9,84.3,173353.0,2.58,66293.0,34919.0,5.8,1052.58,8.7,83.7,49.9,494967.0,392365.0,372.8,41789.0,14661.0,19409.0,3099.0,36701.0,3803.0,35132.0,Ada County,16001.0,259389.0,195669.0,180546.0,179402.0,155002.0,123485.0,-0.0391689701567914,-0.092375389049875,-0.1130847540239052,-0.0618276273397174,-0.2330163481761525,-0.2785763453050978,Republican,0.0,Ada,Ada,Ada County,ID,Idaho,43.4511,-116.2412,497494.0
ADAIR COUNTY,IA,23.0,18.5,94.2,2.5,97.4,95.1,3200.0,2.17,53363.0,30822.0,1.6,569.27,3.2,86.1,50.2,7496.0,7682.0,13.5,914.0,304.0,499.0,0.0,861.0,185.0,679.0,Adair County,19001.0,4177.0,3811.0,3996.0,4053.0,4278.0,4123.0,-0.4127364136940388,-0.3484649698241931,-0.081081081081081,-0.0335553910683444,-0.1304347826086956,-0.1266068396798447,Republican,0.0,Adair,Adair,Adair County,IA,Iowa,41.3307,-94.471,7479.0
ADAIR COUNTY,KY,19.2,15.7,79.6,2.2,94.8,93.0,6977.0,2.56,38021.0,21196.0,1.6,405.28,2.6,89.0,50.2,18903.0,18656.0,46.0,1725.0,342.0,1076.0,78.0,1617.0,144.0,1484.0,Adair County,21001.0,8763.0,8233.0,7600.0,7298.0,7447.0,7328.0,-0.6714595458176423,-0.645451232843435,-0.5501315789473684,-0.5267196492189641,-0.5188666577145159,-0.5023198689956332,Republican,0.0,Adair,Adair,Adair County,KY,Kentucky,37.1042,-85.2806,18887.0
ADAIR COUNTY,MO,15.1,31.0,90.1,2.6,91.5,89.4,9258.0,2.45,41929.0,22847.0,4.1,567.32,5.9,75.1,52.0,25314.0,25607.0,45.1,2175.0,455.0,1335.0,59.0,1974.0,298.0,1655.0,Adair County,29001.0,10336.0,10226.0,10126.0,11871.0,11404.0,10552.0,-0.2615131578947368,-0.2474085663993741,-0.1414181315425637,-0.0131412686378569,-0.1253069098561908,-0.1847043214556482,Republican,0.0,Adair,Adair,Adair County,MO,Missouri,40.1906,-92.6007,25299.0
ADAIR COUNTY,OK,15.8,11.6,80.8,7.1,42.1,39.4,7733.0,2.86,34695.0,17026.0,1.8,573.48,8.3,90.2,50.0,19495.0,22683.0,39.6,1864.0,618.0,978.0,770.0,968.0,109.0,1722.0,Adair County,40001.0,7108.0,6513.0,6508.0,6690.0,7533.0,5977.0,-0.5906021384355655,-0.5228005527406725,-0.3463429625076828,-0.3865470852017937,-0.3197929111907607,-0.1910657520495231,Republican,0.0,Adair,Adair,Adair County,OK,Oklahoma,35.8839,-94.6587,19726.0
ADAMS COUNTY,CO,10.7,24.3,83.8,40.8,85.7,49.0,166450.0,3.0,71202.0,30313.0,15.3,1167.65,29.0,84.7,49.4,519572.0,441603.0,378.2,34447.0,12562.0,18398.0,10916.0,22016.0,3478.0,29493.0,Adams County,8001.0,236740.0,193665.0,176230.0,160499.0,136672.0,107852.0,0.1628157472332516,0.0850747424676632,0.1683992509788344,0.1835961594776292,0.0234868883165534,0.0609260838927418,Democrat,1.0,Adams,Adams,Adams County,CO,Colorado,39.8736,-104.3379,520149.0
ADAMS COUNTY,IA,23.7,15.6,93.8,1.4,97.4,96.1,1598.0,2.21,49255.0,28440.0,0.6,423.44,1.5,88.7,50.1,3704.0,4029.0,9.5,284.0,64.0,157.0,0.0,261.0,37.0,210.0,Adams County,19003.0,2160.0,2106.0,2185.0,2206.0,2325.0,2145.0,-0.4375,-0.3941120607787274,-0.0366132723112128,0.0326382592928377,-0.1462365591397849,-0.1272727272727272,Republican,0.0,Adams,Adams,Adams County,IA,Iowa,41.029,-94.6992,3680.0
