County,County Equivalent,county_fips,Republican_Percent_2000,Democrat_Percent_2000,Total_Votes_2000,Republican_Percent_2004,Democrat_Percent_2004,Total_Votes_2004,Republican_Percent_2008,Democrat_Percent_2008,Total_Votes_2008,Republican_Percent_2012,Democrat_Percent_2012,Total_Votes_2012,Republican_Percent_2016,Democrat_Percent_2016,Total_Votes_2016,Republican_Percent_2020,Democrat_Percent_2020,Total_Votes_2020
Aleutians East Borough,Aleutians East,02013,72.90%,18.80%,619,74.60%,23.40%,551,66.30%,30.30%,672,53.30%,42.50%,555,56.10%,31.50%,536,61.40%,32.90%,548
Aleutians West Census Area,Aleutians West,02016,51.20%,37.20%,"1,368",50.90%,45.90%,"1,303",49.70%,47.10%,"1,381",34.40%,62.80%,"1,238",32.50%,56.80%,"1,214",43.00%,54.00%,"1,282"
Anchorage Municipality,Anchorage,02020,57.20%,29.20%,"118,881",60.20%,37.00%,"112,525",56.80%,40.90%,"135,081",53.00%,43.20%,"125,171",46.90%,41.60%,"130,050",47.00%,48.90%,"145,178"
Bethel Census Area,Bethel,02050,42.10%,46.40%,"4,799",48.50%,47.00%,"4,510",43.50%,52.10%,"5,172",23.50%,71.60%,"4,770",22.30%,55.00%,"4,892",32.70%,60.40%,"5,108"
Bristol Bay Borough,Bristol Bay,02060,54.60%,29.00%,700,67.90%,29.30%,548,70.10%,26.90%,522,59.70%,34.20%,446,59.40%,30.10%,460,60.10%,38.10%,506
,Chugach,,59.60%,24.20%,"3,610",61.60%,34.60%,"3,514",60.90%,35.90%,"3,556",53.30%,41.40%,"3,126",52.60%,32.00%,"3,151",55.00%,39.60%,"3,524"
,Copper River,,72.30%,14.80%,"1,465",71.60%,23.90%,"1,478",74.20%,23.00%,"1,558",69.90%,23.90%,"1,251",67.80%,19.60%,"1,302",66.90%,28.40%,"1,689"
Denali Borough,Denali,02068,55.50%,24.30%,"1,257",56.00%,38.70%,985,51.20%,45.60%,"1,253",51.60%,43.80%,935,52.70%,35.50%,"1,110",54.80%,40.60%,"1,161"
Dillingham Census Area,Dillingham,02070,53.80%,35.90%,"1,658",58.30%,38.30%,"1,785",54.60%,42.90%,"1,985",36.40%,58.70%,"1,655",34.50%,52.00%,"1,877",43.10%,51.60%,"1,907"
Fairbanks North Star Borough,Fairbanks North Star,02090,61.50%,25.30%,"41,513",64.00%,32.70%,"39,033",61.60%,35.70%,"44,397",58.60%,36.30%,"40,541",53.90%,33.00%,"40,859",54.80%,39.80%,"45,367"
Haines Borough,Haines,02100,55.00%,25.30%,"1,349",53.50%,42.10%,"1,389",51.00%,45.20%,"1,540",47.70%,45.40%,"1,314",40.70%,44.70%,"1,612",37.40%,59.70%,"2,636"
Hoonah-Angoon Census Area,Hoonah-Angoon,02105 ,44.30%,39.80%,"1,342",44.70%,50.10%,"1,370",44.70%,51.30%,"1,310",36.10%,59.20%,"1,254",31.90%,53.00%,"1,408",25.10%,71.50%,"2,301"
